ts,event,bucket_id,profile,strategy_id,lot_id,symbol,occ,qty,limit,fill_price,cost,return_pct,pnl_usd,reason,buy_offset,sell_offset,take_profit,stop_loss,spread_frac,detail,order_id
2026-08-04 14:03:31.686182+00:00,entry,193,lab0193_s218_w1_0928_1005_r2,S218,902487394273,AAPL,AAPL260807C00317500,1,0.62,0.6,60.0,,,,-0.01,,0.5,-0.5,0.10000000000000009,low=301.32 BB_lower=301.13 touch+green,7bb6e42a-eed4-46cb-90d8-3e0fe82202df
2026-08-04 14:03:31.686182+00:00,entry,193,lab0193_s218_w1_0928_1005_r2,S218,902487394273,AAPL,AAPL260807C00317500,1,0.6,0.6,60.0,,,,-0.01,,0.5,-0.5,,,7bb6e42a-eed4-46cb-90d8-3e0fe82202df
2026-08-04 16:56:21.224983+00:00,exit,193,lab0193_s218_w1_0928_1005_r2,S218,902487394273,AAPL,AAPL260807C00317500,1,,0.9,60.0,50.0,30.0,take_profit (+50.0%),,-0.01,0.5,-0.5,,,babeb12c-190f-4a9c-b600-5f5ef5d33916
2026-08-04 14:03:31.686182+00:00,entry,193,lab0193_s218_w1_0928_1005_r2,S218,110cbf9f9bfc,AAPL,AAPL260807C00317500,1,0.6,0.6,60.0,,,,-0.01,,0.5,-0.5,,,7bb6e42a-eed4-46cb-90d8-3e0fe82202df
2026-08-05 14:07:30.782016+00:00,entry,193,lab0193_s218_w1_0928_1005_r2,S218,d95cf1542779,UNH,UNH260807C00422500,1,0.66,0.66,66.0,,,,-0.01,,0.5,-0.5,0.1967213114754098,low=397.80 BB_lower=407.62 touch+green,d3b80b08-c3c5-432d-af9c-bdb80e472531
2026-08-04 16:56:21.224983+00:00,exit,193,lab0193_s218_w1_0928_1005_r2,S218,d95cf1542779,UNH,UNH260807C00422500,1,,0.9,66.0,36.36,24.0,reconcile_fill,,-0.01,0.5,-0.5,,,babeb12c-190f-4a9c-b600-5f5ef5d33916
2026-08-04 14:03:31.686182+00:00,entry,193,lab0193_s218_w1_0928_1005_r2,S218,dd942a8817d9,AAPL,AAPL260807C00317500,1,0.6,0.6,60.0,,,,-0.01,,0.5,-0.5,,,7bb6e42a-eed4-46cb-90d8-3e0fe82202df
2026-08-05 14:07:30.782016+00:00,entry,193,lab0193_s218_w1_0928_1005_r2,S218,1172e716d0b2,UNH,UNH260807C00422500,1,0.66,0.66,66.0,,,,-0.01,,0.5,-0.5,,,d3b80b08-c3c5-432d-af9c-bdb80e472531
2026-08-04 16:56:21.224983+00:00,exit,193,lab0193_s218_w1_0928_1005_r2,S218,1172e716d0b2,UNH,UNH260807C00422500,1,,0.9,66.0,36.36,24.0,reconcile_fill,,-0.01,0.5,-0.5,,,babeb12c-190f-4a9c-b600-5f5ef5d33916
2026-08-05 14:07:30.782016+00:00,entry,193,lab0193_s218_w1_0928_1005_r2,S218,acd6fe099d40,UNH,UNH260807C00422500,1,0.66,0.66,66.0,,,,-0.01,,0.5,-0.5,,,d3b80b08-c3c5-432d-af9c-bdb80e472531
2026-08-04 16:56:21.224983+00:00,exit,193,lab0193_s218_w1_0928_1005_r2,S218,acd6fe099d40,UNH,UNH260807C00422500,1,,0.9,66.0,36.36,24.0,reconcile_fill,,-0.01,0.5,-0.5,,,babeb12c-190f-4a9c-b600-5f5ef5d33916
