ts,event,bucket_id,profile,strategy_id,lot_id,symbol,occ,qty,limit,fill_price,cost,return_pct,pnl_usd,reason,buy_offset,sell_offset,take_profit,stop_loss,spread_frac,detail,order_id
2026-08-03 14:07:00.448799+00:00,entry,83,lab0083_s210_w2_1005_1045_r2,S210,2be0cf8bb626,PATH,PATH260807C00013500,1,0.29,0.28,28.0,,,,-0.01,,0.75,-0.75,0.06896551724137917,MA8 11.96 crossed above MA21,16132940-c6e3-43ea-b426-7424520d2736
2026-08-04 14:13:55.011547+00:00,exit,83,lab0083_s210_w2_1005_1045_r2,S210,2be0cf8bb626,PATH,PATH260807C00013500,1,,0.42,28.0,50.0,14.0,reconcile_fill,,-0.01,0.5,-0.5,,,329d2159-d204-4fdd-8907-bcefe11dfd5c
2026-08-03 14:07:00.448799+00:00,entry,83,lab0083_s210_w2_1005_1045_r2,S210,e6924b90f23b,PATH,PATH260807C00013500,1,0.28,0.28,28.0,,,,-0.01,,0.5,-0.5,,,16132940-c6e3-43ea-b426-7424520d2736
2026-08-04 14:13:55.011547+00:00,exit,83,lab0083_s210_w2_1005_1045_r2,S210,e6924b90f23b,PATH,PATH260807C00013500,1,,0.42,28.0,50.0,14.0,reconcile_fill,,-0.01,0.5,-0.5,,,329d2159-d204-4fdd-8907-bcefe11dfd5c
2026-08-03 14:07:00.448799+00:00,entry,83,lab0083_s210_w2_1005_1045_r2,S210,2c114c40d111,PATH,PATH260807C00013500,1,0.28,0.28,28.0,,,,-0.01,,0.5,-0.5,,,16132940-c6e3-43ea-b426-7424520d2736
2026-08-05 14:07:12.566741+00:00,entry,83,lab0083_s210_w2_1005_1045_r2,S210,8650e5bafbe8,PLTR,PLTR260807C00175000,1,0.45,0.43,43.0,,,,-0.01,,0.75,-0.75,0.04444444444444448,MA8 134.14 crossed above MA21,7b6f4b5e-800a-44d5-94f1-b2f4d3f5b95e
2026-08-04 16:24:30.977280+00:00,exit,83,lab0083_s210_w2_1005_1045_r2,S210,8650e5bafbe8,PLTR,PLTR260807C00175000,1,,0.46,43.0,6.98,3.0,reconcile_fill,,-0.01,0.5,-0.5,,,290a1b4a-08f6-4f04-bffa-4c5b592a38c7
2026-08-05 14:07:12.566741+00:00,entry,83,lab0083_s210_w2_1005_1045_r2,S210,46139f1b6130,PLTR,PLTR260807C00175000,1,0.43,0.43,43.0,,,,-0.01,,0.5,-0.5,,,7b6f4b5e-800a-44d5-94f1-b2f4d3f5b95e
2026-08-04 16:24:30.977280+00:00,exit,83,lab0083_s210_w2_1005_1045_r2,S210,46139f1b6130,PLTR,PLTR260807C00175000,1,,0.46,43.0,6.98,3.0,reconcile_fill,,-0.01,0.5,-0.5,,,290a1b4a-08f6-4f04-bffa-4c5b592a38c7
2026-08-06 14:34:55.989426+00:00,entry,83,lab0083_s210_w2_1005_1045_r2,S210,d0d163fa5f5b,CVNA,CVNA260807C00073000,1,0.23,0.23,23.0,,,,-0.01,,0.75,-0.75,0.0869565217391304,MA8 66.18 crossed above MA21,ad4fdbd5-9061-42c1-80c9-80eb4ebf51c1
