ts,event,bucket_id,profile,strategy_id,lot_id,symbol,occ,qty,limit,fill_price,cost,return_pct,pnl_usd,reason,buy_offset,sell_offset,take_profit,stop_loss,spread_frac,detail,order_id
2026-08-25 14:08:03.960485+00:00,entry,90,live_1to1,S404,dd4ea13e1f69,NKE,NKE260828C00039500,1,0.55,0.54,54.0,,,,-0.01,,0.5,-0.4,0.11320754716981142,gap -3.0%,66aa0346-2660-418a-97c6-75c939d3691d
2026-08-26T13:41:31Z,reconcile,90,live_1to1,S404,dd4ea13e1f69,NKE,NKE260828C00039500,0,,,0,,,missing_from_broker,,,,,,lot closed outside of bot (expired/manual),
2026-08-26 13:42:29.567975+00:00,entry,90,live_1to1,S404,44a9781e59ac,MARA,MARA260828C00012000,1,0.25,0.24,24.0,,,,-0.01,,0.75,-0.6000000000000001,0.08000000000000007,gap -2.3%,ad07ec53-f601-4602-8024-1d27603e99c1
2026-08-26 13:52:18.660570+00:00,entry,90,live_1to1,S406,5b1b4373c392,MSTR,MSTR260828C00136000,1,0.6,0.6,60.0,,,,-0.01,,0.75,-0.6000000000000001,0.15929203539823006,RB gap -2.8% reclaim,24ca2409-7acf-44eb-8e3e-817185761dd4
2026-08-26T14:46:43Z,reconcile,90,live_1to1,S406,5b1b4373c392,MSTR,MSTR260828C00136000,0,,,0,,,missing_from_broker,,,,,,lot closed outside of bot (expired/manual),
2026-08-26T14:56:03Z,reconcile,90,live_1to1,S404,44a9781e59ac,MARA,MARA260828C00012000,0,,,0,,,missing_from_broker,,,,,,lot closed outside of bot (expired/manual),
2026-08-27 14:27:02.260472+00:00,entry,90,live_1to1,S404,8e6492b4c1df,CELH,CELH260904C00036000,1,0.32,0.31,31.0,,,,-0.01,,0.75,-0.6000000000000001,0.12903225806451624,gap -3.8%,e0fd007c-02f1-4781-b0cc-495b33e8d606
2026-08-27T18:11:51Z,reconcile,90,live_1to1,S404,8e6492b4c1df,CELH,CELH260904C00036000,0,,,0,,,missing_from_broker,,,,,,lot closed outside of bot (expired/manual),
2026-08-28 14:14:16.256773+00:00,entry,90,live_1to1,S404,0d6c58654278,MARA,MARA260904C00012000,1,0.21,0.2,20.0,,,,-0.01,,0.75,-0.6000000000000001,0.046511627906976785,gap -2.9%,a3d1978f-75df-4688-be4e-bdbc8feb3ac4
2026-08-27 17:56:25.541975+00:00,exit,90,live_1to1,S404,0d6c58654278,MARA,MARA260904C00012000,1,,0.18,20.0,-10.0,-2.0,reconcile_fill,,-0.01,0.5,-0.4,,,862bbf0f-a599-4b0e-af52-db0e13678355
2026-08-28 14:26:29.563648+00:00,entry,90,live_1to1,S218,ebd144e2a009,MCD,MCD260904C00270000,1,0.55,0.53,53.0,,,,-0.01,,0.5,-0.4,0.2400000000000001,low=260.32 BB_lower=260.59 touch+green,e0c4d6fe-34e2-4a8b-9ba1-305a9d4011e4
2026-09-01T13:34:40Z,reconcile,90,live_1to1,S218,ebd144e2a009,MCD,MCD260904C00270000,0,,,0,,,missing_from_broker,,,,,,lot closed outside of bot (expired/manual),
2026-09-01 14:32:03.478555+00:00,entry,90,live_1to1,S406,8a297e289a35,NVDA,NVDA260904C00225000,1,0.6,0.59,59.0,,,,-0.01,,0.5,-0.4,0.016528925619834725,RB gap -1.8% reclaim,30938af9-7e35-486b-be91-576c54689b34
2026-09-01 15:00:32.378884+00:00,entry,90,live_1to1,S218,613009cbf06c,SHOP,SHOP260904C00152500,1,0.41,0.32,32.0,,,,-0.01,,0.5,-0.4,0.2399999999999999,low=141.55 BB_lower=142.54 touch+green,a04d2488-dce6-409c-9358-2ede0b821384
2026-09-01T15:56:03Z,reconcile,90,live_1to1,S406,8a297e289a35,NVDA,NVDA260904C00225000,0,,,0,,,missing_from_broker,,,,,,lot closed outside of bot (expired/manual),
