timestamp,date,mode,elapsed_s,signals,placed,equity,reconcile_s,cancel_s,manage_s,scan_s,entries_s
2026-07-07 09:34:33,2026-07-07,entry+manage,50.7,84,100,102366.18,0.07,0.01,0.02,16.05,34.15
2026-07-08 09:34:39,2026-07-08,entry+manage,333.3,119,100,112822.29,0.39,0.08,0.15,28.9,303.27
2026-07-08 10:06:21,2026-07-08,entry+manage,104.4,116,100,123525.91,0.18,0.03,0.08,34.68,69.25
2026-07-08 10:11:05,2026-07-08,entry+manage,288.6,110,100,123383.47,0.34,0.07,0.07,32.43,255.04
2026-07-08 10:40:43,2026-07-08,entry+manage,46.7,96,0,123145.53,0.07,0.01,0.01,41.95,4.39
2026-07-08 10:45:41,2026-07-08,entry+manage,50.8,95,0,131124.25,0.12,0.02,0.03,44.84,5.54
2026-07-08 10:51:03,2026-07-08,entry+manage,50.1,90,0,118888.25,0.39,0.08,0.09,36.56,12.6
2026-07-08 10:55:43,2026-07-08,entry+manage,40.4,90,0,136192.25,0.06,0.01,0.01,35.97,4.25
2026-07-08 11:01:09,2026-07-08,entry+manage,70.0,90,0,126189.25,0.41,0.25,0.11,53.26,15.46
2026-07-08 11:05:39,2026-07-08,entry+manage,48.4,90,0,124604.25,0.08,0.01,0.01,43.34,4.51
2026-07-08 11:11:17,2026-07-08,entry+manage,35.1,90,0,133722.25,0.08,0.01,0.02,31.23,3.63
2026-07-08 11:15:42,2026-07-08,entry+manage,46.7,86,0,124046.25,0.43,0.04,0.06,39.08,6.81
2026-07-08 11:21:02,2026-07-08,entry+manage,39.6,87,0,119440.25,0.42,0.08,0.08,27.7,10.9
2026-07-08 11:25:39,2026-07-08,entry+manage,31.0,82,0,113474.25,0.14,0.03,0.03,26.09,4.61
2026-07-08 11:31:08,2026-07-08,entry+manage,42.4,82,0,114471.25,0.11,0.01,0.01,39.52,2.69
2026-07-08 11:35:40,2026-07-08,entry+manage,38.7,85,0,116402.25,0.21,0.03,0.03,32.55,5.7
2026-07-08 11:40:58,2026-07-08,manage-only,0.3,0,0,116172.25,0.13,0.02,0.02,,
