timestamp,date,action,ticker,strategy,price,dollar_amount,pnl_pct,pnl_dollar,hold_days,exit_reason,regime,equity_after
2026-05-06 16:07:07,2026-05-06,SELL,ACGL,Pullback50,95.47,45.16,-2.04,-0.94,0,stop_loss (-2.0%),bull,516.45
2026-05-09 16:11:51,2026-05-09,BUY,BTC/USD,CryptoRSI,0,0,0.0,0.0,0,rsi_entry,crypto,100000.0
2026-05-09 16:11:51,2026-05-09,BUY,ETH/USD,CryptoRSI,0,0,0.0,0.0,0,rsi_entry,crypto,100000.0
2026-05-09 16:11:51,2026-05-09,BUY,SOL/USD,CryptoRSI,0,0,0.0,0.0,0,rsi_entry,crypto,100000.0
2026-05-09 16:11:51,2026-05-09,BUY,AVAX/USD,CryptoRSI,0,0,0.0,0.0,0,rsi_entry,crypto,100000.0
2026-05-09 16:11:51,2026-05-09,BUY,LINK/USD,CryptoRSI,0,0,0.0,0.0,0,rsi_entry,crypto,100000.0
2026-05-09 16:16:01,2026-05-09,BUY,BTC/USD,CryptoRSI,0,0,0.0,0.0,0,rsi_entry,crypto,99913.67
2026-05-09 16:16:01,2026-05-09,BUY,ETH/USD,CryptoRSI,0,0,0.0,0.0,0,rsi_entry,crypto,99913.67
2026-05-10 03:46:14,2026-05-10,BUY,BTC/USD,CryptoRSI,0,0,0.0,0.0,0,rsi_entry,crypto,99951.38
2026-05-10 03:46:14,2026-05-10,BUY,ETH/USD,CryptoRSI,0,0,0.0,0.0,0,rsi_entry,crypto,99951.38
2026-05-10 03:49:02,2026-05-10,SELL_MKT,BTCUSD,CryptoRSI,0,0,0.024,0.72,0,rsi_exit (RSI=68),crypto,99939.06
2026-05-10 03:54:02,2026-05-10,SELL_MKT,ETHUSD,CryptoRSI,0,0,0.056,1.65,0,rsi_exit (RSI=64),crypto,99918.15
2026-05-10 06:39:03,2026-05-10,SELL,AVAXUSD,CryptoRSI,0,0,0.354,10.38,0,rsi_exit (RSI=64),crypto,99895.95
2026-05-10 06:39:24,2026-05-10,SELL,LINKUSD,CryptoRSI,0,0,-0.148,-4.35,0,rsi_exit (RSI=58),crypto,99895.95
2026-05-10 06:39:45,2026-05-10,SELL,SOLUSD,CryptoRSI,0,0,0.465,13.63,0,rsi_exit (RSI=63),crypto,99895.95
2026-05-10 09:43:06,2026-05-10,BUY,BTC/USD,CryptoRSI,0,0,0.0,0.0,0,rsi_entry,crypto,99874.4
2026-05-10 13:00:51,2026-05-10,SELL,BTCUSD,CryptoRSI,0,0,0.179,5.25,0,rsi_exit (RSI=68),crypto,99872.3
2026-05-15 21:42:23,2026-05-15,BUY,BTC/USD,CryptoRSI,0,0,0.0,0.0,0,rsi_entry,crypto,99862.84
2026-05-15 21:42:23,2026-05-15,BUY,ETH/USD,CryptoRSI,0,0,0.0,0.0,0,rsi_entry,crypto,99862.84
2026-05-15 21:42:23,2026-05-15,BUY,SOL/USD,CryptoRSI,0,0,0.0,0.0,0,rsi_entry,crypto,99862.84
2026-05-15 21:42:23,2026-05-15,BUY,AVAX/USD,CryptoRSI,0,0,0.0,0.0,0,rsi_entry,crypto,99862.84
2026-05-15 21:42:23,2026-05-15,BUY,LINK/USD,CryptoRSI,0,0,0.0,0.0,0,rsi_entry,crypto,99862.84
2026-05-16 09:47:42,2026-05-16,SELL_MKT,AVAXUSD,CryptoRSI,0,0,-3.259,-0.18,0,stop_loss (-3.3%),crypto,99575.31
2026-05-16 09:48:04,2026-05-16,SELL,ETHUSD,CryptoRSI,0,0,-1.974,-14.0,0,stop_loss (-2.0%),crypto,99575.31
2026-05-16 09:48:25,2026-05-16,SELL,LINKUSD,CryptoRSI,0,0,-3.764,-0.09,0,stop_loss (-3.8%),crypto,99575.31
2026-05-16 09:48:47,2026-05-16,SELL_MKT,SOLUSD,CryptoRSI,0,0,-3.123,-2.23,0,stop_loss (-3.1%),crypto,99575.31
2026-05-16 09:48:48,2026-05-16,BUY,ETH/USD,CryptoRSI,0,0,0.0,0.0,0,rsi_entry,crypto,99575.31
2026-05-16 09:48:48,2026-05-16,BUY,SOL/USD,CryptoRSI,0,0,0.0,0.0,0,rsi_entry,crypto,99575.31
2026-05-16 09:48:48,2026-05-16,BUY,AVAX/USD,CryptoRSI,0,0,0.0,0.0,0,rsi_entry,crypto,99575.31
2026-05-16 09:48:48,2026-05-16,BUY,LINK/USD,CryptoRSI,0,0,0.0,0.0,0,rsi_entry,crypto,99575.31
2026-05-17 06:49:39,2026-05-17,SELL,ETHUSD,CryptoRSI,0,0,0.399,11.67,0,rsi_exit (RSI=60),crypto,99620.7
