ts,event,bucket_id,profile,strategy_id,lot_id,symbol,occ,qty,limit,fill_price,cost,return_pct,pnl_usd,reason,buy_offset,sell_offset,take_profit,stop_loss,spread_frac,detail
2026-07-06T11:50:48.667455-04:00,exit,0,orphan_reconcile,UNKNOWN,c2d58ea9a2ec,PLTR,PLTR260710C00138000,6,,,562.14,84.65,475.86,take_profit (+84.7%),,-0.01,0.5,-0.5,,
2026-07-06T12:05:45.005827-04:00,exit,0,orphan_reconcile,UNKNOWN,df118e91c1ed,PYPL,PYPL260710C00045000,6,,,352.0,50.0,176.0,take_profit (+50.0%),,-0.01,0.5,-0.5,,
2026-07-06T12:21:13.002043-04:00,exit,0,orphan_reconcile,UNKNOWN,5990e6c1994f,PYPL,PYPL260710C00045500,1,,,31.0,58.06,18.0,take_profit (+58.1%),,-0.01,0.5,-0.5,,
2026-07-06T13:15:43.821844-04:00,exit,0,orphan_reconcile,UNKNOWN,3c0fc77f5461,ADBE,ADBE260710C00230000,2,,,146.0,53.42,78.0,take_profit (+53.4%),,-0.01,0.5,-0.5,,
2026-07-10T09:34:23.277596-04:00,exit,0,orphan_reconcile,ORPHAN,ebf1fd020339,PEP,PEP260717C00141000,5,,,340.0,-85.29,-290.0,stop_loss (-85.3%),,-0.01,0.5,-0.5,,,4da8936b-b4a5-481b-9904-b2c69f27d3b1
2026-07-10T09:34:23.277596-04:00,exit,0,orphan_reconcile,ORPHAN,d534e0e8fa38,PLTR,PLTR260710C00131000,5,,,300.0,68.33,205.0,take_profit (+68.3%),,-0.01,0.5,-0.5,,,95c0022a-2efa-4189-852d-eb8e3cf07f70
2026-07-10T09:34:23.277596-04:00,exit,0,orphan_reconcile,ORPHAN,74f05b91de87,CCL,CCL260710C00026000,7,,,298.0,66.78,199.0,take_profit (+66.8%),,-0.01,0.5,-0.5,,,cf73962d-ae28-452a-8463-5de7be95cc5f
2026-07-10T09:34:23.277596-04:00,exit,0,orphan_reconcile,ORPHAN,0aaced1bf4d8,AVGO,AVGO260710C00400000,49,,,2740.0,472.26,12939.99,take_profit (+472.3%),,-0.01,0.5,-0.5,,,d3b0adc7-6ad1-41a9-9aa9-c609691a6500
2026-07-10T09:34:23.277596-04:00,exit,0,orphan_reconcile,ORPHAN,20e74755a9f9,GOOGL,GOOGL260710C00367500,24,,,1032.0,-81.39,-839.99,stop_loss (-81.4%),,-0.01,0.5,-0.5,,,40583d20-a4d9-4bf2-99c8-465e5852d8b1
2026-07-10T09:34:23.277596-04:00,exit,0,orphan_reconcile,ORPHAN,28471b832ebe,GOOGL,GOOGL260710C00365000,75,,,6143.99,-81.69,-5018.97,stop_loss (-81.7%),,-0.01,0.5,-0.5,,,aaf81477-8b07-49a3-b864-daab733ed459
2026-07-10T09:34:23.277596-04:00,exit,0,orphan_reconcile,ORPHAN,f29d48296f10,ANET,ANET260710C00185000,22,,,600.0,464.67,2788.0,take_profit (+464.7%),,-0.01,0.5,-0.5,,,d698b6e9-164f-4f12-9d75-af68214e6e51
2026-07-10T09:34:23.277596-04:00,exit,0,orphan_reconcile,ORPHAN,12828f03dec8,BA,BA260710C00240000,22,,,415.0,-94.7,-393.0,stop_loss (-94.7%),,-0.01,0.5,-0.5,,,243f2197-6779-4247-bb59-5609401727db
2026-07-10T09:34:23.277596-04:00,exit,0,orphan_reconcile,ORPHAN,4cdf2bcb3091,INTC,INTC260710C00118000,25,,,2258.0,-94.46,-2133.0,stop_loss (-94.5%),,-0.01,0.5,-0.5,,,65eef45a-69e1-450c-9cd2-d6dc76e49d1b
2026-07-10T09:34:23.277596-04:00,exit,0,orphan_reconcile,ORPHAN,13d8ddf822de,PLTR,PLTR260710C00136000,24,,,780.0,-78.46,-612.0,stop_loss (-78.5%),,-0.01,0.5,-0.5,,,3abf600a-aec2-40c1-a146-95f888ea0b9d
2026-07-10T09:34:23.277596-04:00,exit,0,orphan_reconcile,ORPHAN,456952ea62dc,ADBE,ADBE260710C00225000,1,,,86.0,148.84,128.0,take_profit (+148.8%),,-0.01,0.5,-0.5,,,329ebeb7-5867-4b3d-abc2-01569e43a6bd
2026-07-10T09:34:23.277596-04:00,exit,0,orphan_reconcile,ORPHAN,7a33e5cbc233,INTC,INTC260710C00119000,24,,,1784.0,-94.62,-1688.0,stop_loss (-94.6%),,-0.01,0.5,-0.5,,,94ca6324-2233-478e-8ca8-3cad83d7ac8d
2026-07-10T09:45:01.625295-04:00,exit,0,orphan_reconcile,ORPHAN,a07fab90bf8c,GOOGL,GOOGL260710C00362500,24,,,1414.0,-71.15,-1006.0,stop_loss (-71.1%),,-0.01,0.5,-0.5,,,4b028296-166e-48f9-b3e0-fd300fe39583
