run_stamp,run_number,run_id,live_exit,options_exit,live_duration_s,options_duration_s,event_type
20260812T010650Z,6816,31552479512,0,0,3,10,schedule
20260812T010911Z,6817,31552613788,0,0,4,11,schedule
20260812T032930Z,6818,31560184906,0,0,3,10,schedule
20260812T130051Z,6819,31599192510,0,0,2,12,workflow_dispatch
20260812T130549Z,6820,31599618711,0,0,2,9,workflow_dispatch
20260812T131049Z,6821,31600035658,0,0,2,11,workflow_dispatch
20260812T131548Z,6822,31600453252,0,0,2,11,workflow_dispatch
20260812T132045Z,6823,31600871054,0,0,2,10,workflow_dispatch
20260812T132553Z,6824,31601295371,0,0,2,11,workflow_dispatch
20260812T133049Z,6825,31601719661,0,0,217,0,workflow_dispatch
20260812T134116Z,6827,31602594577,0,0,228,0,workflow_dispatch
20260812T135130Z,6829,31603490995,0,0,218,0,workflow_dispatch
20260812T140126Z,6831,31604390118,0,0,4,103,workflow_dispatch
20260812T140545Z,6832,31604845761,0,0,1,216,workflow_dispatch
20260812T141046Z,6833,31605296617,0,0,2,119,workflow_dispatch
20260812T141554Z,6834,31605744697,0,0,3,129,workflow_dispatch
20260812T142052Z,6835,31606193088,0,0,5,122,workflow_dispatch
20260812T142550Z,6836,31606651570,0,0,4,132,workflow_dispatch
20260812T143055Z,6837,31607108657,0,0,3,142,workflow_dispatch
20260812T143549Z,6838,31607575456,0,0,3,110,workflow_dispatch
20260812T144047Z,6839,31608038794,0,0,3,119,workflow_dispatch
20260812T144546Z,6840,31608502358,0,0,3,189,workflow_dispatch
20260812T145046Z,6841,31608965663,0,0,2,101,workflow_dispatch
20260812T145546Z,6842,31609426829,0,0,3,104,workflow_dispatch
20260812T150057Z,6843,31609888779,0,0,3,147,workflow_dispatch
20260812T150549Z,6844,31610354929,0,0,2,88,workflow_dispatch
20260812T151053Z,6845,31610805243,0,0,3,103,workflow_dispatch
20260812T151550Z,6846,31611259539,0,0,3,95,workflow_dispatch
20260812T152049Z,6847,31611716550,0,0,4,217,workflow_dispatch
20260812T153000Z,6848,31612175079,0,0,4,0,workflow_dispatch
20260812T153427Z,6849,31612630975,0,0,2,0,workflow_dispatch
20260812T153613Z,6850,31613089242,0,0,3,18,workflow_dispatch
20260812T154048Z,6851,31613538096,0,0,4,20,workflow_dispatch
20260812T154549Z,6852,31613995667,0,0,3,23,workflow_dispatch
20260812T155110Z,6853,31614439172,0,0,3,14,workflow_dispatch
20260812T155819Z,6854,31614888505,0,0,3,14,workflow_dispatch
20260812T160048Z,6855,31615336913,0,0,2,24,workflow_dispatch
20260812T161415Z,6857,31616212926,0,0,1,15,workflow_dispatch
20260812T161546Z,6858,31616628033,0,0,2,16,workflow_dispatch
20260812T162055Z,6859,31617038100,0,0,3,21,workflow_dispatch
20260812T162926Z,6860,31617446784,0,0,1,15,workflow_dispatch
20260812T163248Z,6861,31617866989,0,0,2,14,workflow_dispatch
20260812T163547Z,6862,31618305418,0,0,2,13,workflow_dispatch
20260812T164617Z,6864,31619144580,0,0,3,21,workflow_dispatch
20260812T165049Z,6865,31619571718,0,0,2,14,workflow_dispatch
20260812T165606Z,6866,31619995048,0,0,4,21,workflow_dispatch
20260812T170055Z,6867,31620411412,0,0,2,22,workflow_dispatch
20260812T170548Z,6868,31620832772,0,0,4,22,workflow_dispatch
20260812T171049Z,6869,31621254234,0,0,4,18,workflow_dispatch
20260812T171549Z,6870,31621667144,0,0,4,23,workflow_dispatch
20260812T172047Z,6871,31622083999,0,0,2,13,workflow_dispatch
20260812T172551Z,6872,31622506697,0,0,3,17,workflow_dispatch
20260812T173233Z,6873,31622928362,0,0,2,13,workflow_dispatch
20260812T173547Z,6874,31623349459,0,0,3,20,workflow_dispatch
20260812T174048Z,6875,31623762006,0,0,3,18,workflow_dispatch
20260812T174546Z,6876,31624184603,0,0,2,15,workflow_dispatch
20260812T175418Z,6877,31624599751,0,0,2,13,workflow_dispatch
20260812T175753Z,6878,31625012710,0,0,3,15,workflow_dispatch
20260812T180057Z,6879,31625432456,0,0,2,19,workflow_dispatch
20260812T180545Z,6880,31625862404,0,0,2,13,workflow_dispatch
20260812T181416Z,6881,31626278769,0,0,3,17,workflow_dispatch
20260812T181605Z,6882,31626696787,0,0,4,15,workflow_dispatch
20260812T182055Z,6883,31627104899,0,0,3,17,workflow_dispatch
20260812T182549Z,6884,31627518428,0,0,2,16,workflow_dispatch
20260812T183046Z,6885,31627940611,0,0,3,18,workflow_dispatch
20260812T183638Z,6886,31628372057,0,0,2,16,workflow_dispatch
20260812T184607Z,6888,31629206040,0,0,3,18,workflow_dispatch
20260812T185050Z,6889,31629623712,0,0,3,18,workflow_dispatch
20260812T185548Z,6890,31630044334,0,0,3,18,workflow_dispatch
20260812T190048Z,6891,31630462341,0,0,2,20,workflow_dispatch
20260812T190544Z,6892,31630888043,0,0,1,13,workflow_dispatch
